Nome do Batalhão,Endereço,Latitude,Longitude
1º BPM - Batalhão Pioneiro,SPO Área Especial Conjunto 04 - Brasília-DF,-15.828557731934963,-47.94080929219665
2º BPM - Batalhão de Taguatinga,QNB AE 08 - Sandu Taguatinga Norte-DF,-15.833434473589577,-48.06015355973668
3º BPM - Batalhão Cruzeiro/SAAN,SAAN QD 03 Lote 1.350 - Brasília-DF,-15.758783991204856,-47.93301198465646
4º BPM - Batalhão Guará,Área Especial 10 Módulo A - Guará II-DF,-15.841423265411707,-47.965513682538185
5º BPM - Batalhão Lago Sul,QI 11 AE 02 - Lago Sul - Brasília-DF,-15.83835521487563,-47.86785078650745
6º BPM - Batalhão Esplanada,SGMN Projeção L - Brasília-DF,-15.793319802145788,-47.8655347910041
7º BPM - Batalhão Sudoeste,EQRSW 2/3 Lote 03 - Sudoeste-DF,-15.792032601458774,-47.92937965412588
8º BPM - Batalhão Ceilândia,QNN 06 AE S/N - Guariroba - Ceilândia-DF,-15.84503048914235,-48.12126168452147
9º BPM - Batalhão Gama,AE 02 Setor Sul - Gama - Brasília-DF,-15.992224012458774,-48.05191102145874
10º BPM - Batalhão Ceilândia Norte,QES AE 07 08 e 09 - Ceilândia-DF,-15.81182178412547,-48.11545412415877
11º BPM - Batalhão Samambaia,QN 203 AE S/N - Samambaia Norte-DF,-15.87114658741254,-48.08985112415877
12º BPM - Batalhão Judiciário,Fórum Leal Fagundes - SMAS Trecho 04-DF,-15.81907741258741,-47.94582098451241
13º BPM - Batalhão Sobradinho,Quadra Central AE 02 - Sobradinho-DF,-15.65158645874125,-47.79124431245877
14º BPM - Batalhão Planaltina,Área Especial 13 Setor Norte - Planaltina-DF,-15.60965301245877,-47.64828108451241
15º BPM - Batalhão Estrutural,Setor Central Área 1 - Cidade Estrutural-DF,-15.78363712415877,-47.98342412415877
16º BPM - Batalhão Brazlândia,Área Especial A Lote 01 Setor Norte-DF,-15.66698935412547,-48.20014721415877
17º BPM - Batalhão Águas Claras,Avenida Sibipiruna Lote 05 - Águas Claras-DF,-15.83908836541254,-48.02492192415877
19º BPM - Batalhão Papuda,Fazenda Papuda - Complexo Penitenciário-DF,-15.88352101245877,-47.78345102145877
20º BPM - Batalhão Paranoá,QD 33 AE S/N - Paranoá-DF,-15.77351221415877,-47.77701441245877
21º BPM - Batalhão São Sebastião,QD 201/202 AE 02 Residencial Oeste-DF,-15.90821412415877,-47.77123485412547
24º BPM - Batalhão Lago Norte,SHIN CA 02 Lote 19 - Lago Norte-DF,-15.72821451245877,-47.88241512415877
25º BPM - Batalhão Bandeirante,SMPW QD 06 Conj. 02 AE S/N - Park Way-DF,-15.87524141245877,-47.96621451245877
26º BPM - Batalhão Santa Maria,QC AE 01 Av. Alagados - Santa Maria-DF,-16.01524101245877,-48.01254101245877
28º BPM - Batalhão Riacho Fundo I,QN 05 AE 01 - Riacho Fundo I-DF,-15.88214502145877,-48.01524141245877
BOPE - Operações Especiais,SIA Trecho 17 Rua 14 Lote 170 - Guará-DF,-15.79514102145877,-47.95521402145877
BPCHOQUE - Choque,SPO AE Conjunto 03 - Brasília-DF,-15.82512141245877,-47.93521451245877
ROTAM - Rondas Motorizadas,SCIA Quadra 14 Conjunto 01 Lote 02-DF,-15.78821451245877,-47.97521451245877
BAvOp - Aviação Operacional,SRIA AE 10 Módulo A - Guará II-DF,-15.84124102145877,-47.96521451245877
BPCÃES - Policiamento de Cães,SPO AE Conjunto 03 - Brasília-DF,-15.82512141245877,-47.93521451245877
BPMA - Ambiental,Praça do Bosque Lote 10 - Candangolândia-DF,-15.84521451245877,-47.95014102145877
BPEsc - Escolar,Avenida Sibipiruna Lote 03/05 - Águas Claras-DF,-15.83908836541254,-48.02492192415877
BPRV - Rodoviário,DF 001 KM 00 - Região dos Lagos - Sobradinho-DF,-15.68021451245877,-47.82014102145877
