Data do Crime;RA;# Casos;Meio Utilizado;Local;Motivação;Idade - Vítima;Idade - Autor
07/10/2025;PLANALTINA;1;Asfixia;Interior de Residência;Outro;22;42
20/09/2025;NÚCLEO BANDEIRANTE;1;Não Informado;Lote vago, terreno abandonado;Não Informado;41;0
18/09/2025;SÃO SEBASTIÃO;1;Agressão Física;Interior de Residência;Ciúme;51;33
09/09/2025;NÚCLEO BANDEIRANTE;1;Não Informado;Interior de Residência;Não Informado;36;0
29/08/2025;POR DO SOL/SOL NASCENTE;1;Outro;Interior de Residência;Outro;56;22
23/08/2025;BRAZLÂNDIA;1;Arma Branca;Interior de Residência;Outro;21;42
13/08/2025;ITAPOÃ;1;Arma Branca;Ruas, praças, estacionamentos;Não Informado;28;32
29/07/2025;SAMAMBAIA;1;Arma Branca;Ruas, praças, estacionamentos;Término Relacionamento;43;35
09/07/2025;TAGUATINGA;1;Não Informado;Lote vago, terreno abandonado;Não Informado;52;0
07/07/2025;PARANOÁ;1;Não Informado;Lote vago, terreno abandonado;Não Informado;41;61
10/06/2025;RECANTO DAS EMAS;1;Agressão Física;Interior de Residência;Não Informado;46;24
07/06/2025;SCIA E ESTRUTURAL;1;Arma de Fogo;Interior de Residência;Ciúme;51;47
19/05/2025;CEILÂNDIA;1;Arma Branca;Interior de Residência;Término Relacionamento;33;34
18/05/2025;SAMAMBAIA;1;Arma Branca;Interior de Residência;Ciúme;32;42
19/04/2025;POR DO SOL/SOL NASCENTE;1;Arma Branca;Interior de Residência;Não Informado;46;53
09/04/2025;PARK WAY;1;Agressão Física;Lote vago, terreno abandonado;Não Informado;29;0
04/04/2025;PARANOÁ;1;Asfixia;Lote vago, terreno abandonado;Ciúme;31;31
31/03/2025;RECANTO DAS EMAS;1;Arma Branca;Interior de Residência;Ciúme;31;41
29/03/2025;FERCAL;1;Asfixia;Interior de Residência;Ciúme;34;39
26/02/2025;CRUZEIRO;1;Arma Branca;Ruas, praças, estacionamentos;Não Informado;49;43
22/02/2025;PLANALTINA;1;Arma de Fogo;Outros;Ciúme;17;20, 22, 24
15/01/2025;PLANALTINA;1;Agressão Física;Ruas, praças, estacionamentos;Término Relacionamento;35;41
05/01/2025;SCIA E ESTRUTURAL;1;Arma Branca;Interior de Residência;Ciúme;27;41
16/12/2024;SIA (SETOR DE INDUSTRIA E ABASTECIMENTO);1;Asfixia;Interior de Residência;Ciúme;37;37
08/12/2024;SAMAMBAIA;1;Asfixia;Interior de Residência;Ciúme;29;33
22/11/2024;CEILÂNDIA;1;Asfixia;Ruas, praças, estacionamentos;Ódio;27;35
14/11/2024;SAMAMBAIA;1;Arma Branca;Interior de Residência;Ciúme;21;43
